序号,文件名,相对路径,文件大小MB,PDF类型,总页数,建议动作,任务状态,建议输出目录
1,中国农业百科全书：中兽医卷.pdf,01-主系列-已齐\中国农业百科全书：中兽医卷.pdf,74.12,纯扫描PDF,514,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-中兽医卷-rescue-result
2,中国农业百科全书：养蜂卷.pdf,01-主系列-已齐\中国农业百科全书：养蜂卷.pdf,17.74,纯扫描PDF,412,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-养蜂卷-rescue-result
3,中国农业百科全书：兽医卷上卷.pdf,01-主系列-已齐\中国农业百科全书：兽医卷上卷.pdf,91.96,纯扫描PDF,508,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-兽医卷上卷-rescue-result
4,中国农业百科全书：兽医卷下卷.pdf,01-主系列-已齐\中国农业百科全书：兽医卷下卷.pdf,63.95,纯扫描PDF,465,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-兽医卷下卷-rescue-result
5,中国农业百科全书：农业化学卷.pdf,01-主系列-已齐\中国农业百科全书：农业化学卷.pdf,27.54,纯扫描PDF,584,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-农业化学卷-rescue-result
6,中国农业百科全书：农业历史卷.pdf,01-主系列-已齐\中国农业百科全书：农业历史卷.pdf,19.33,混合PDF,529,只识别扫描页,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-农业历史卷-rescue-result
7,中国农业百科全书：农业工程卷.pdf,01-主系列-已齐\中国农业百科全书：农业工程卷.pdf,60.79,混合PDF,642,只识别扫描页,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-农业工程卷-rescue-result
8,中国农业百科全书：农业机械化卷.pdf,01-主系列-已齐\中国农业百科全书：农业机械化卷.pdf,28.8,混合PDF,619,只识别扫描页,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-农业机械化卷-rescue-result
9,中国农业百科全书：农业气象卷.pdf,01-主系列-已齐\中国农业百科全书：农业气象卷.pdf,21.1,纯扫描PDF,545,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-农业气象卷-rescue-result
10,中国农业百科全书：农业经济卷.pdf,01-主系列-已齐\中国农业百科全书：农业经济卷.pdf,38.76,混合PDF,519,只识别扫描页,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-农业经济卷-rescue-result
11,中国农业百科全书：农作物卷（合并扫描本，含上册与下册内容）.pdf,01-主系列-已齐\中国农业百科全书：农作物卷（合并扫描本，含上册与下册内容）.pdf,66.63,混合PDF,1010,只识别扫描页,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-农作物卷-合并扫描本-含上册与下册内容-rescue-result
12,中国农业百科全书：农药卷.pdf,01-主系列-已齐\中国农业百科全书：农药卷.pdf,104.97,纯扫描PDF,582,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-农药卷-rescue-result
13,中国农业百科全书：土壤卷.pdf,01-主系列-已齐\中国农业百科全书：土壤卷.pdf,90.34,纯扫描PDF,660,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-土壤卷-rescue-result
14,中国农业百科全书：昆虫卷.pdf,01-主系列-已齐\中国农业百科全书：昆虫卷.pdf,50.77,纯扫描PDF,618,整本书进行OCR,未开始,D:\pdf-rescue-mcp\tmp\library_dabao\01-主系列-已齐\中国农业百科全书-昆虫卷-rescue-result
